Emotion,Text
surprise,"The moment I said if u have prob in giving me leaves,I shall resign right now, expression of their face was just priceless LOL "
surprise,"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN"
anger,But Christine felt vexed when at the next Pack Meeting Sarah lost points for the Six through being a slowcoach . 
joy,Wow ! I can't believe I'm standing here ! 
sadness,Rewatching Harry potter 7 part 2 
sadness," Oh , my god . "
surprise,Out of a 5 he school day I had 2 lessons and spent 3 hours in the library ! *Nerd* ahaha 
surprise,@Niamhul Awkwardness insued when I misinterpreted &quot;willies out&quot;. Apparently nobody knew mine was so big... 
neutral, No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight ! 
joy,Rewatching the chevron world challenge.  #tiger
joy,Wanting to be a part something entirely different today...Good News.  Join the revolution.  Do good.  
disgust,So the same bum a$$ ninja &amp; his friend that were trying to buy me drinks &amp; food walked out on the waiter!!! LAMES Me!!!
joy, That's right 
joy,"The cookie I am eating has all of the following in it: Chocolate Chips, pecans, pretzels, potato chips,  "
joy,@RolandPollard I know 3 and a half hours til I wake up 
fear,I have always told hubby I could do FACTOR but after watching a few old episodes......SMDH!
sadness,"Life is as it is,    &amp;  comes as you think &amp; make it more complicated than it really is... #help"
fear,"@laurentma2laine leur duo marche assez bien, imagine avec Daniela Lumbroso #LGB"
joy,"I wrote a difficult Exam at one time while in my Secodary School. When the results were announced on the radio, I came second out of 80 students hence I felt joy."
sadness,"Suddenly becoming aware of his blue gaze being levelled in her direction , she turned a smile into a cough , and promptly spilled coffee into the saucer . "
joy,10 month olds calling the police. 
joy,I have seem  caught myself humming &quot; A B C &quot; - Michael Jackson numerous times today. What a Jolly mood I must be in :D  
joy,"Got to do the three things i hate the most. washing, tidying &amp; work! "
sadness,That kind of night when you keep opening the fridge looking for that perfect snack... and never find it... 
surprise,Adriana just showed up on the porch.. Hooray for coming home early!! 
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
surprise,Serious. This gal. This gal here.  No one likes this. I was a commodity. No happening but still... 
joy, Okay . 
anger,Wondering why @mattbalkowski is in a bad mood 
joy,End of finals plus a hilarious night of Asian karaoke. @rrundus @Paige_Dobbins @katiewhitmire @hannahhardison @kathBthomas
joy,Bout to lose myself in this school work and music for the rest of the night 
surprise,"De toptweet van dit moment gaat over Xmas, terwijl Sinterklaas de volgende weekenden al mijn aandacht gaat vragen #gedichten"
sadness,"I have once been very sad and lonely.  This was when I was trying to organize a play as a student (15 years).  Instead of materializing, it fizzled out.  The worst thing was that the play fell apart completely and I found myself weeping uncontrollably.  Now when I think of it, I laugh it off; but at that time it was intense."
fear,I woke up in a different set of clothes I went out last night in? 
fear,Waiting for a taxi - when within 1/2 an hour two separate people challenged me to fight for no apparent reason except they were drunk.
surprise,"Gus said : ` Of course ! "" in a slightly startled voice , and visibly withdrew his vision and his thoughts from some distant preoccupation in which she had no part . "
joy,"Well, I work today after school. "
surprise,lovely birthday meal with all everyone! So much love for the #bestfriend clarissa murphy xxxx
joy,"Emily suddenly felt a surge of elation , she was eager for the new experience of being introduced into what she considered was the world of adulthood . "
shame,"On this occasion , satygraha involved imprisonment of thousands of Indians , much to the embarrassment of the Union Government of South Africa . "
anger, out loud it helps cleanse your mind.  #pain #nomore
surprise,It honestly makes my day when callers tell me to have a blessed day. 
joy," That's a good idea . Let's see if we can get more people in this plan . There isn't much business these days anyway , so I think many people will be interested . "
anger,Towards wife's laziness in not performing her usual duties because of television watching.
joy,When I was accepted at university.
fear,Not included on questionnaire.
sadness,The day I woke up to find that a kitten I had wanted to keep had been eaten by the neighbour's dogs.  It had been locked out by my wife who claimed that it had dirtied the sheets.
joy,"Make God the &quot;eye of your storm&quot; and find peace, calmness, quietness and faith to SPEAK &quot;peace be still, in the name of Jesus.&quot; #DIVAew"
surprise,"And in other news, the Pope has announced that he is not a Muslim.  "
fear,I seem to be more nervous in that way than I once was . 
joy,@sameyfudge no that's a songtext from 30 seconds to mars and I'm not finished with studying ... Need to get up at 5.am tomorrow 
fear,If you let and #doubt control you....they will demolish your future
surprise,"Morgen toch wel spannende dag voor mams, hoop zo dat ze het gehaald heeft. #trots"
anger, You only say that because you don't have to work with him.The people in your department seem so capable and nice to be around.Take Mary for example.She ' s smart and enthusiastic . I've never met anyone as cheery as she is . 
joy, I am feeling outstanding .
anger,Angry at Angry Birds 
neutral," Well , he has already taken you know , that's his wife right there . "
joy,My alarm clock was my mother yelling at me to help her cook and clean cause we have guests coming 
disgust,#NAME?
anger,AS Maths is already making me want to throw bricks at things. 
joy,"As the time to get the results drew near I became more and more anxious.  My friend called me and said, \ You have passed.\""  My heart was full of joy."""
joy,shadowing independence tomorrow.. #not
joy,"Damn I was gonna go to bed too, then this bullshit started. "
joy,"Good morning , Mary ! "
sadness,"Just got home from my first duty at al-sad PEC...wawa mga baby kapag extract ng blood,di q ata kakayanin. "
joy,Dancing at lughnasa to read for tomoro .. and four exp to write up LML
anger,"The rebel Serbs were miffed that Bildt planned no trip to their stronghold of Pale , east of Sarajevo ."
neutral, Would you please write your name on this list ? 
sadness,"The journey was taken at a leisurely pace because of the trailer , yet , despite her dejection , Matt 's reminiscences caused it to pass rapidly . "
surprise,I think I just found out who sent them! What a sweet gesture :) #ItsMyBirthday
joy,At work.. With a bunch of screaming freaking kids.. #imtired
fear,@zoeclarksonn  eso e smuy facil S: lo de filosofia es LARGO D: muy largo S:
fear,Fuck all yall we ignore feelins here pre mature millionaire 
anger,“@travelligence: @bubbly_ank hmmm. Cannot be defined. Intensity can only be felt. It can also be released. Like a pressure cooker”
fear,"My uncle isn't even messaging me, and him missing in my life is kind of messing with me. "
sadness,This damn strip club is wacky as 
surprise,Wow that was a really shitty move... Least you can do is tell me your taking the car and I gotta find my own way to work pops. 
sadness,My parents are always saying I am not good enough . 
sadness, Sorry . The road is too crowded . 
anger,"@simongorman we will be arranging sat morning tennis tonight, shall I put your name down for some more rage fuelled action? #seething"
anger,I was very angry when I heard that my brother was beaten by his friends. 
sadness,When I part with my friends I feel always sad for some time. I can't remember a concrete example now. For example I have just parted with a friend of mine and I am feeling sad.
joy,"Tired all day, can't sleep at night. "
surprise,Wondering how my aunt will react when she finds out I'm a veggie. 
sadness,"When I said good-bye to my girlfriend.  I had spent two years on developing this relationship and it was unsuccessful, I felt very sad."
sadness,"@amy_obrien22 lolz, we are freaking funny. you didn't eat my lucky charms today "
sadness,@4sqSupport Will you backdate city badges soon? I did my massive Europe tour with check-ins last year. 
fear,David is concerned at the length of time he says it took for an ambulance to arrive . 
joy,"Wreath ribbon-ified &amp; hung. Tree breathing, waiting for ornaments. Just unwrapped nativity sets from Peru, Italy, childhood.  "
surprise,"Bought everyones christmas presents,I bought 5 copys of @justinbieber Under the mistletoe, Can't wait to see their faces #smiles"
fear,Some economists feel deep disquiet at the use of food grains to produce motor spirit . 
joy,@TheBodyShopUK Pure indulgence. Husband and I snuggled after a long soak. Glasses of wine and long lazy afternoons at christmas!
surprise,Mom left all the stocking stuffer on the dinning room table.. :(
joy,Going home for the week! Until my final on Friday at 8am :/ 
anger,My annoyance at missing the fish turns to relief when I realise I am not snagged in the roots . 
anger,"A  man maybe known by 3 things:- without cause, #Speech without profit, Putting #Trust in a stranger..!!"
fear,"I was attacked, standing in a doorway, by a pack of 5 dogs, alsatians and farm dogs with my escape route blocked by a shut fence."
sadness,@pFville_pFinest I'm sorry 1.1 u was supposed to call me for HH with the whites but I said somthin to niggerish and I was axed 
fear,"When I was on holiday, walking back to where I was staying, at night, and two men started closely following me. There was nobody around that I could run to."
sadness,Last christmas carol show... 
fear,Our relationship does seem to be improving but obviously I 'm worried that we now seem to be paying 50% more than we expected . 
joy,When I passed successive exams to enter the school of medicine.
joy,"Whether or not the Palace actually arranged for the drawing to be removed , there can be little doubt that they were delighted to be rid of it . "
anger, Crazy is too kind . Insane is more like it . Nuts ! Wacko ! Psycho ! 
fear," Scary ppl killin outta Amazing Intresting Fact  -   Gary, Indiana is the murder capital of the U.S. - probably the world."
fear,I was in a dark cellar and saw a glowing red point. I thought that it was a person with a cigarette - but it was only the red switch.
disgust,OUR tax $$$ buying tear gas &amp; repression so the 1% who dont pay taxes dont have to hear dissent from the 99% who do #ows #wrong
surprise,Last day as a blonde so nervous and excited! It will be a #totallydifferent
fear,We went fishing some 5 or 8 kilometers off the shore of Lake Malawi. Before we could settle down the lake became very rough to the point of threatening our lives.
joy,"♥ I look around at all the love in my life, and I can't believe how blessed I am.♥ "
joy,"another library stint, 1900 words to go, "
joy,"My honey is sooo sweet, he just called and said &quot;keep your schedule clear tomorrow &quot; I know that could only mean 1 thing   "
sadness,@jamesmyth and my poor poor jacket? 
joy,"When, for example, I was in my eleventh school year and I learned I had been classed for the Bulgarian Language and Literature National Olympiad."
neutral, Yes . 
joy,"Make God the &quot;eye of your storm&quot; and find peace, calmness, quietness and faith to SPEAK &quot;peace be still, in the name of Jesus.&quot; #DIVAew"
joy,follows a pure thought like a shadow that never leaves-Buddha #quote
sadness,Dude I was wearing petticoat breeches before they were cool.   #rhinegraves #dumbMusic #TheYearOfOurLord1665
fear,@TBLightning Cats are afraid of water. Water=rain. Rain=storms. Storms=LIGHTNING. Therefore Panthers Lightning. #gobolts.
anger,My roommate was rude to me.
sadness,At the end of my senior yr . in high school I found out that a friend of mine I knew had cancer had been diagnosed as terminally ill.
sadness," Yeah , I'm very nauseous . It's mostly nausea and a fever . "
fear,only thing holding me back.
anger,Being hooted at when I was learning to drive.
sadness,I can't think of a single thing I really want for Christmas.....
anger,@maggieshunter I for realz have nearly thrown my Mac out the window multiple times today. Then I realized it's like my best friend. 
joy,@SockedKiwi most kind. Heating is on warp factor 5. I have a stein of beer and series 4 of parks and recreations loaded up. 
sadness,One day was a wonderful but sad movie. It took them 16 years to see what was right in front of them and it was too late. 
sadness,"When my mother scolded me for something, very insignificant, without knowing the real cause of what had happened. "
sadness,"My life is being consumed by work, I work until midnight on the weekends now. Kill me, social life gone "
fear,"I neva was da type to bite ma tongue andexplain maself 2 anybdy,none but god."
surprise,@hayley_md Apparently shoes do not fly if you throw them out of a moving vehicle. #theywontbemissed
anger, Try to be more careful in future . Look ! You ’ Ve damaged the sign . 
joy,LMFAOO i love you dane cook&lt;3RT @danecook: I just shit my pants. Pure 100% gravy. 
anger,"I coped at the time but now , five years on , I feel guilty and resentful about the whole affair . "
joy,Bored in work til 8 then 
sadness,I'm sad now I wanted to see Justin on stage so bad :( 
fear,What a contrast with the rattled and untrustworthy gamblers at Number 10 and Number 11 Downing Street . 
fear,"It all started early this morning , when a rather anxious mum called in at the office . "
surprise,My mom comes running in my room.. and tells me to get dressed cause she wants to go shoe shopping. &lt;3
joy,Next week is about to be just as busy as this week -_- 
joy,"&quot;ñ sei q tanto a escreve aí.. Tem mil e ñ sei quants segdores, quando num tá no pc tá no cel... Huuum Conta essa história direito&quot;"
sadness,I hate &quot;rescue animals&quot; commercials. They make me feel sad and sorrowful for all animals out there  
surprise,"@paddyok16 my credit is gone there, yaaa ill go in tomor, ill be head  heard that alright earlier #msltransferwindow"
sadness,@imran173 me too watching the arsenal game!& ten action here! 
fear,"Playing NOW on Hardest: BYPO Radio Show Session #17. Full hour of popstar mainstream Hardcore set. Tune in, listen and enjoy."
surprise,I always wanted to walk dwn dha stairs and jus see my baby standin right dar w roses and wine . 
sadness,At rejection / being ignored by a loved person held in great esteem.
sadness,"Getting into the christmas spirit has never been so hard, bring on the stereotypes I don't care...WHERE'S THE SNOW #m.i.a"
surprise,I just feel sick today 
sadness,"Just got followed by 7 new girls, who if they were real, I would hit on without shame. Unfortunately, they seem like bots. "
joy,Science in the news all day 
sadness,Sunday nights are the worse. I hate school 
joy, It's a pleasure . Come on . I'm on your side . 
joy,Break! What's your favorite happy song? Sing it! Let it fill you with Joy! #LJB
joy,I enjoy the people who make my heart happy. 
joy,Going to work feeling sick 
joy,"Club? Naw, I'd rather trip off my family.   #loyalty. #lovemyfamilia"
neutral, What ? 
fear,@beckerroobart bits of chat coming back to me.... Hope all in same state as me @ no photos....yet. Chocolate fingers. Right #totheshop
joy,"Whereas in Crime and Punishment and in the novels which follow he can , though his narrow glee over being ahead of the fact is unworthy of his art and of what ` idealism "" and ` deeper realism "" intend . "
fear,Why does every single thing have to terrify me more than it should.
disgust,Just threw up in my mouth. People are disgusting. #disgust 
fear,When I had to talk with an important person about a job.
sadness,"I brought an extra granola bar to swim practice, but @EmmaBoutcher13 wasn't there "
anger,The Way Rage Passed Throu Me Today! Had 2 Cuss Off The Asian Men In The Hair Shop. 
surprise,"Decemeber 17th!!!!!!! COME ON, good night, cant wait "
disgust,Why the hell do people think they are invisible when they pick their noses in the car? 
surprise,Power outage at work ... win
neutral, Why don ’ t you find the information on the internet instead ? 
joy, Never mind . I'll be waiting for you . 
joy,SMELL MY ARMPIT PLEASE RT @hddyyy: I get pumped up whenever I start disturbing Marsya. Hahahaha later she'll feel like crying. xD
sadness,my first job and i might just have to work on the weekend. #recklessestimations
sadness,Dennis just pulled a paper crane out of his pocket and let it fall to the ground and told me I wasn't getting another one... 
neutral, Absolutely . 
neutral, How do you know whether you should hit the solid or the striped one ? 
anger, I am very grateful for your advice . 
sadness," Well , I'm really worried about my grades . I didn't think this course would be so stressful . "
joy,When in an economic crisis I got an unexpected sum of money.
joy,"Expressing his delight at being appointed , he said : ` This is the one job I had hoped for . "" "
anger,"` Jane , my darling , it 's not because she 's mad that I hate her . "
joy,Did so good on my religion assignment so proud of myself :')))) all 80's 90's and 100's 
joy,"Got so much shizzle to do today and not enough hours..worst of all, milly has her 12 week injections this afternoon "
fear,"I've been joined in the Soudain gamble by the man the Scunny bookies call bespectacled death , @chris_radford "
surprise,Actually had fun in gym today with Olivia and Alllie. Love them &lt;3
fear,"Rose was excessively clinging in her behaviour and anxious when Clive was either late , as he often was , or away on an extended business trip . "
joy,Lmfa im strting to eat choclat ice cream and you and i comes on my ipod  
fear,When I had to walk home in the dark for the first time. 
surprise,Making cookies when my parents aren't home 
sadness,"Despite my anger and despair at what had happened to Brian , killing myself now would n't make amends for not helping him . "
surprise,I be forgettin I'm followin these celebrities til they pop outta nowhere wit a tweet.. nigga
joy,"The simple , laughing islanders subsequently worshipped it as a god , much to the amusement of their more sophisticated neighbours . "
joy,"Eating, then crashing early. Gotta be up at 5am "
neutral," And three times a week , you can either swim , play racketball , or hand ball . "
joy,I honestly dont understand how people get sick of Christmas music  #happiness Just a combination of all good things!
sadness, Sorry . It is the smallest size we have . 
joy,I cry tears of anytime there's a grand opening 4 a new @McDonalds restaurant closer 2 me...
fear,"And the of the #LORD fell on all the kingdoms of the lands that were around #Judah, so that they did not make war against Jehoshaphat."
joy,@Dorcia316 It was a pleasure having you @  on  tis the season to give ((via @patwell )
joy,@Makoski22 hey coachy ma coachy ... are ya allrite? :) Hope you have a fabolous thursday! :)   and xoxoxo
fear,"&quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today  #less&quot;"
joy,The fact that I'm gonna skip school on saturday made me HAPPY!!!!!!! 
surprise,That awkward moment when someone stabs you in the back and they think you don't know but you do 
neutral, Pardon ? 
neutral, Is there anything interesting ? 
fear,@IslamChat: You should have the of losing one's softness in the heart and its hardening.
neutral, How come ? 
fear,Listening to Drake &amp; thats my first time hearing that line... :/
sadness,Why are there christmas movies on TV?!?! i'm not ready for cold weather yet 
sadness,I love how my Elementary school homemade Christmas ornaments aren't good enough for our tree this year. 
fear,"Don't believe the Lies , look me in My eyes and please don't Be scared of Me jtm"
fear,"When I dream of anything terrifying I used to have fear for the rest of the day that the dream might come true e.g., being beaten (or eaten ?) by a snake."
fear,"Soo True!....RT @RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less"
joy,Ok i take it back! Brilliant eve with  @turkeyturner #whyitsgreaselightening
fear,"the awkward moment when someone who shouldn't wear a thong does O,o "
joy,"time for bed :)have fun and be safe you crazy shoppers,hope you guys had a great thanks giving and get everything you want and need:)"
disgust,Sandusky's wife is sick in the head for defending her husband.. All those boys raped-molested and she defends him!!! 
fear,Nervous for Meh'Lindi 's safety ? 
fear,YOU HAVE BEEN A BAD GIRL... GET IN THE CAR. 
joy,Double shift tonight thru tomorrow morning until the afternoon...:-)
anger,"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon "
anger,"The offended Titan lumbered forward and stamped upon one Raider , crushing it underfoot . "
joy,"Oh, sitting at the restaurant by myself for 2 1/2 hours. :("
joy,Have you accepted what God is holding out to you  #peace #hope #forgiveness #grace ? #JesusTweeters
neutral, Ok . 
joy,"Okay I just put up my Christmas decoration I just need 2 cords then I'll be all set Santa Claus is coming 2 town in 24 days, hahaha"
joy,She wished she could share her glee with Adam . 
fear,   Infiltration in our lives. The illusion of so we accept their political Solutions. #Tyranny
joy,"There were amused smiles , but they did not know at all why Alain had done that . "
joy,"And I 'm really excited about it and there 's lots of interest , I think this places are taken up already . "
sadness, I am very upset
fear,"Its Ok For U To UnFollow Me, But Me &amp; My Team Will Serve Up Repercussion's, Exothermodynamic Repercussions. #ExothermicReaction #Heat"
neutral, I see . 
neutral, so what ? 
sadness,Railway station good-bye.
joy,"And everybody gets very excited , because three hundred and fifty kilos in Durham tomorrow morning sounds like a good pay day . "
neutral, How often ? 
fear,"“@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less”"
fear,Putain j'entends de ces bruits etranges dans la maison la !
fear,When I was an exploration with my friends and almost got lost in an unfamiliar environment.  It was getting dark and we did not know how to get back home.
joy,I noticed that Meryl Streep and I had similar cheekbones and jaw structure.
joy,To start my weekend I have to spend an hour in the mercy parking lot 
disgust,@Shayla_Khalifaa guh n tha was in the cafe soo jus imagine how i felt o_O 
anger,"` I still feel quite peeved about it ; well , more than that really . "" "
shame,I 'm really ashamed of the matter and therefore return to you the bond cancelled . 
sadness,When I found out that I could not go to the concert (after buying the tickets) because of a biology test which occurred the morning after.
sadness, Of course not . I knew she had fallen in love with another guy . It is difficult to see her move on so quickly . 
sadness,sou um loser ou o quê? 
sadness, I am not in the mood . 
fear,"Anxious people become acutely sensitized to their bodies , noticing minor bodily changes upon which they focus . "
surprise,Lekker opruimen na de avond heb toch een ander beeld van een #afterparty was wel erg geslaagd nog zes flesjes #hertogjan over
disgust,junior girls got that freshman boy fever.. 
sadness,I was not chosen for the All English class.
joy,When my boyfriend came back after being away for 10 days.
sadness,On this occasion City accepted with relish the chances which came their way and inflicted serious psychological damage on their dejected opponents . 
joy,"7:01, no breakfast, minimal hours of sleep, no homework done. about to be a great day I can just feel it. "
neutral, It sure is . 
sadness,Aw that was a cute Kim and Kris moment 
disgust,@LauraTogher @katherinelyncho fanuary.. Don b so disgusting Laura my god.. No female Wil get sponsorship from me for such a cause!! 
fear,Once as a child I dreamed of a fire. Since that time I hadn't wanted to sleep in that bed and had feared the night darkness (and so it is now).
joy,How come strapping myself to a board and plummeting makes me so damned happy?!  
fear,"I went to the ballet lessons with a little friend in the dark. On a very quiet place a boy approached us from behind and asked at what time the lesson would be finished. I gave him an avoiding answer, he took me up and wanted to run away with me."
anger,"Shaw , however , worked off most of his exasperation over the weekend winning the Durham and Cleveland County veterans ' over 50 title . "
joy," Life is like a box of chocolates , you never know what you're gonna get . "
anger,"The British , however , remained suspicious of American motives , and resentful of their advice . "
anger, that seems like an awful waste ! Why don't people order fewer dishes so that they don't have to throw so much away at the end of the meal ? 
sadness,And even those could be put down to excessive grief at the loss of his wife . 
joy,I love it when Rhema Radio plays an entire Newsboys album in one go! 
joy,I am going to be decorating the house 4 Christmas. I need some holiday spirit right now. No way that I will let scrooge in this year. 
surprise,"@lowerbodyinjury Fair enough, tbh I don't really run shit....."
surprise,"Finally made it to East Dulwich. Bit of a trek, but cold lager and pizza to come. party"
anger,Receiving personal criticisms early in the morning.
sadness,"Since last May many of these same passers-by have come face to face on their TV screens with the agony , desolation and despair of the people of Ethiopia and the Sudan . "
joy,@JakeStHilaire sometime this weekend :D Everything's been pretty crazy lately and now that the Bistro opened back up it's getting worse 
joy,"Gotta love when you have a chemistry quiz tomorrow with ONLY ONE question, &amp; different parts to it &amp; you barely know what's going on.. "
disgust,“I'm not your second choice neither your backup plan. So don't text me when you're bored” 
sadness,"wat iisz facebook comiin t2... they put anutha viideo of ah giirl suckiin ah stiick, SMH... "
sadness,"Dam it , I'm running out of money again , I really need to balance my budget and handle my money better . "
fear,"Today, strike from your heart. We were put on this earth to live in #abundance. Go forth and claim the #success you are worthy of!"
neutral, I'm in the kitchen ... let yourself in ! 
sadness,wahhhhh! left substitute phone charger at work &amp; my real charger is broken! my phone is dead so no phone til tomorrow! =((((
sadness,"The moment when, you realize she stopped loving you.. "
joy,"I understood that this was my mother 's wedding , and although I was necessary to it I was expected to do nothing but be there and appear contented . "
anger,I feel anger when somebody forbids me to do something.
surprise,Wait... Green bay isn't winning yet? 
disgust,"do all of you gt spammed with Ipad offers from idiotic accounts out here, making my hell..."
joy,Contented workers are more likely to be profitable . 
disgust,Some fucking gross guy at my house is cutting our turkey and I'm watching him touch every single piece and he didn't wash his hands 
sadness,i miss when MTV was all about Pimp My Ride and Yo Momma 
joy,"I felt glad to live again when I went to a meeting about the \Knowledge\"". There are 4 techniques of meditation that connect you with the essence of the human being."""
fear,it depends what I'm feeling but when I hear airplanes go over my house I get really scared that I'm going to die 
fear,"I'll be standing in a puddle, I stay away from niggas that could land me in some trouble "
anger,"In a confrontation with a person, he provoked me several times till I reacted in an angry way.  Fortunately there were no disastrous consequences."
anger,"If you ask me the reason for all my headaches, it my family. They annoy the crap out of me #headaches #uggghhh"
joy,"So whether you eat or drink or whatever you do, do it all for the glory of God. 1 Corinthians 10:31 NIV "
joy,"What if you took a 60 seconds time out right now and just breathed, deeply, from the belly, Soulfully.   #Excellence"
surprise,I've made the living room into my library. It'll be like Christmas morning of finals week when my roomies wake up. 
fear,I wished you were with me last night.. That thunder storm was too loud and scary... 
disgust,Meh it's past eleven &#xA;I hate you sleep! Why you no let me do you!?
anger,I received a poor grade on a midterm even though I got all the right answers and knew the material. I went to the TA to try to raise my grade and he wouldn't do it.
anger,"` I am practical , "" Jessamy insisted with some annoyance . "
joy,   there is nothing wrong to fall in love with an other human ...!!!  #respect #speaklound
fear,When my brother was very late in arriving home from work.
neutral," Well , a good rule to follow is , for men you hold out your hand , for women and children , you wait and see what they do . "
neutral," Yes , Jane invited me for dinner to this new restaurant which opened near us . "
anger,Assholes are angriest when they realize they can’t control something they had no business controlling in the first place. 
sadness," I had to move it , so that I can get my bike through . "
fear,"Before Uni started, I had to leave home and take up residence in Brisbane (the \big smoke\"") leaving home, my family, and moving to such a big place was quite intimidating at first, and I was anxious about it."""
joy,Just woke up from a coma.. Now time to take an exam. 
joy,"So this guy is going to live off Comedy Central for days to come, nw that 70's show, =D"
anger,iTunes has to be the most annoying and complicated thing ever! 
joy,"In the army, my result at the shooting exercises got me a three day furlough."
anger,One insider said last week : ` The sheer anger of people has taken everybody by surprise . 
anger,My room-mate locked up our room without specifying where I would find the keys.  I had to spend several hours in my other friend's room.
sadness,@CapSmooth haha maybe but I doubt it cause they don't think I'm pretty 
sadness,I need some positivity in my life right now. I feel like the strides I take are really just baby steps.  #prayer
sadness,Feeling like a dope. In Vegas most of my coworkers were also friends (you know who you are!). Here I can't seem to make that happen 
surprise,Gonna have to delay some experiments and be in all weekend 'cause i fucked up. #notreally #scienceisevil
joy,@Jockstrap23 I hope you're having a  night while I have the of being at home in a  mood. to the world!
sadness,Not allowed to critically joke about movies anymore @AlixBarry @StephenBent @kirundle
sadness,Wow the only dude on the team that did goodie right there :hat
fear,This makes my weekend better. Get my car back and going to  #GuerrillaFuckingWarfare
surprise,so i been natural since march. but my hubby is in the field and im going home for Christmas....so i relaxed my hair! 
fear,The Oracle clearly becomes very anxious about this and demands to know their business . 
disgust,@ThatsMyP33PS True story: some guy hit on me at the @MontereyAq &amp; told me he'd pay me $70 to sleep with him. and he'd buy me lunch. 
surprise,"Dacht ik heel even een uurtje voor mezelf te hebben om aan te werken, verwart #kerel eindtijd met begintijd van zijn afspraak..."
neutral," Oh , I see . "
sadness,I was so close to buying a Nyan Cat t-shirt at HotTopic yesterday. :( Wasn't half off tho.. 
joy,Sir : I am writing to say how delighted I am with your magazine ! 
joy,When my first child was born.
anger,"The day the results of the Chinese university was announced I should have been very happy; however my grandmother, because of  her prejudice and misunderstanding, started a  quarrel with my mother.  She expected me to take her side and she deliberately talked of my mother's wrong doings.  I was very angry because - one my grandmother was not being reasonable and two because it should have been a happy day and three we had moved into a new house that day."
anger,Came back from surfing to find car broken into and gear and money stolen.
joy,Pumped up to meet twitterfriends at  tomorrow. It's been awhile since the last twtup I've attended 
sadness," I'm sorry , I haven't decided yet . Do you mind giving me a couple of minutes ? "
neutral, I sure did . 
sadness,Critics Hate Ambition Lmao There On this nigga Wale's head 
joy,"I acted in an English play in college and got the Best Actress award, while our play got the first place."
surprise,@Petersenxxl bahaha. ! i live a secretive life :)
sadness,having practically no likes and comments on your profile picture and feeling like a loser 
fear,"The  will be  into   and it will keep on saying, Is there any  A muslim hell fire."
fear,@toorah @suzy_leeds @the_stone_roses they were a big part if my life too Ian brown too 
sadness,"@shannon_ruth haha i think we are going too late, schoolies will be over by the time we arrive :/ "
sadness,:O I have unauthorized access to my Ave Maria College emials #officallygone
sadness,I've become a bitter person. What's the point of putting on a fake smile if I don't appreciate anyone. 
anger,My lovely girlfriend double-crossed me and so that I found her chatting with another guy.
anger,The members of the branch were indignant that the government should have planted two spies among them . 
anger,"OK ESPN....... If i wanted to watch Coach K, I would go down a channel...... "
sadness,Northern downpour played right after trade mistakes &lt;/3 
joy,My first post-prac day off at home .. 
anger,I was indignant at the unimpartiality shown by the referees at the football match between Bulgaria and France.
joy,Having a good trip on a boat with good friends.
surprise,@alyssajkroll @katemarina @smbiddle @livweyer @mnhumphrey can we have breakfast for dinner? Cuz all I have to contribute is eggs. 
anger,"Attitude to some manners of dealing and some \sanctioned\"" relations."""
joy,"Ughh, just remembered I have a dr.'s appt. tomorrow... more follow-up tests from earlier this summer. "
sadness,When my team lost a championship.
fear, Your is the one and only thing that makes a dream impossible to achieve.-Cheryl Janecky #stress #anxiety
fear,"So true!!! RT@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less.   Thank you Rev Run"
joy,"Blake says how pleased he is with the firm 's improved performance , acknowledging the considerable efforts and progress it has made . "
sadness,"She crammed more living into her 30 years than most people experience in two lifetimes , according to her heartbroken parents Ken and Diana . "
anger,my cobalt is a cheap piece of plastic and i want to catch it on fire 
anger,Ooo the way I can feel the creeping up my body... Ooo... I guess I made my bed now I gotta lay in it (N) #Peak
joy,is the power to enjoy the journey.
surprise,"Shoebox delivery just turned up at my place. No idea what's in it, but whatever it's a pair of, I'll wear 'em to the pub. "
joy,I'm ready for Christmas break.   
joy,"I will NOT go to he'd until I have my eyebrows threaded and my Mani/ Pedi... As a matter of fact, I will be sleeping on the chair!! "
sadness,At an irrevocable loss (with respect to human relations).
joy,@MrChrisRene @TheXFactorUSA I have never felt so much at someone elses success I truly love #chrisrene from the bottom of my heart&#xA;#LL
joy,brukte 1 og en halv time hjem fra skolen i dag da. 
joy,Standing outside in the freezing cold for  2&amp;1/2 hours #brothervincentyouretoonice @elleeeyc
sadness,&quot;@MishaBarnes1: @elucas25 @chipshannon the dynamics of our ofc has gotten bitter since u left.&quot; Not sure how to take that!  
sadness,"I had a very short term romance during the summer vacations.  When we first met I felt excited but I wanted to avoid him after we had met a few times and so I proposed that we stay apart, I felt very sad then."
fear,   Infiltration in our lives. The illusion of so we accept their political Solutions. #Tyranny
neutral, Sorry ! 
anger,I had to unscrew something on my car. I didn't succeed after two afternoons of trying. A feeling of anger built up itself.
